object_id,longitude,latitude,neighborhoods,borough
261,-74.14181679,40.63014674,Elm Park,Staten Island
262,-73.91665332,40.65211745,Remsen Village,Brooklyn
263,-73.88511776,40.66274428,New Lots,Brooklyn
264,-73.90233474,40.63131755,Paerdegat Basin,Brooklyn
265,-73.91515392,40.61597424,Mill Basin,Brooklyn
266,-73.79646462,40.71145964,Jamaica Hills,Queens
267,-73.79671678,40.73350025,Utopia,Queens
268,-73.8048612,40.73493618,Pomonok,Queens
269,-73.89467996,40.77031739,Astoria Heights,Queens
270,-73.90119903,40.83142834,Claremont Village,Bronx
271,-73.91584653,40.82478049,Concourse Village,Bronx
272,-73.91655552,40.84382618,Mount Eden,Bronx
273,-73.90829931,40.84884161,Mount Hope,Bronx
274,-73.96355614,40.76028033,Sutton Place,Manhattan
275,-73.95386782,40.74341409,Hunters Point,Queens
276,-73.96770825,40.75204237,Turtle Bay,Manhattan
277,-73.97121929,40.74691741,Tudor City,Manhattan
278,-73.9740517,40.73099955,Stuyvesant Town,Manhattan
279,-73.99094711,40.73967305,Flatiron,Manhattan
280,-73.91819286,40.74565181,Sunnyside Gardens,Queens
281,-73.93244235,40.73725072,Blissville,Queens
282,-73.99550752,40.70328109,Fulton Ferry,Brooklyn
283,-73.98111604,40.7033215,Vinegar Hill,Brooklyn
284,-73.93053109,40.67503987,Weeksville,Brooklyn
285,-73.90331685,40.67786105,Broadway Junction,Brooklyn
286,-73.98875281,40.70317633,Dumbo,Brooklyn
287,-74.120594,40.60180958,Manor Heights,Staten Island
288,-74.13208447,40.60370693,Willowbrook,Staten Island
289,-74.21776636,40.54113992,Sandy Ground,Staten Island
290,-74.12727241,40.57911874,Egbertville,Staten Island
291,-73.8921376,40.56737589,Roxbury,Queens
292,-73.95918459,40.5985251,Homecrest,Brooklyn
293,-73.88114319,40.71641451,Middle Village,Queens
294,-74.20152556,40.52626407,Prince's Bay,Staten Island
295,-74.13792664,40.57650629,Lighthouse Hill,Staten Island
296,-74.22957081,40.51954146,Richmond Valley,Staten Island
297,-73.82667757,40.79060156,Malba,Queens
298,-73.89028099,40.68248551,Highland Park,Brooklyn
299,-73.94841515,40.6093777,Madison,Brooklyn
